[Polygons]
;;Subcatchment   X-Coord            Y-Coord           
;;-------------- ------------------ ------------------
S107530          13470908.980       307070.190        
S1081            13470540.311       314342.259        
S1081            13470779.656       313797.748        
S1081            13470452.128       313666.737        
S1081            13470755.092       312995.305        
S1081            13470902.479       312929.799        
S1081            13470861.538       312716.906        
S1081            13471179.373       312025.476        
S1081            13471328.265       311701.570        
S1081            13471425.334       311742.015        
S1081            13472408.637       312151.725        
S1081            13472409.107       312151.921        
S1081            13472419.281       312127.011        
S1081            13472643.997       311576.845        
S1081            13472547.906       311534.247        
S1081            13471574.620       311114.727        
S1081            13471969.000       310220.781        
S1081            13471895.000       310195.000        
S1081            13471386.000       310459.156        
S1081            13471313.000       310623.594        
S1081            13471136.000       310711.031        
S1081            13471196.000       310557.656        
S1081            13470805.000       310760.312        
S1081            13470543.697       310844.856        
S1081            13470051.702       310631.827        
S1081            13469772.000       311235.906        
S1081            13469448.000       311121.094        
S1081            13469169.000       311699.281        
S1081            13469460.000       311844.188        
S1081            13468778.000       313523.844        
S1081            13468449.000       313347.875        
S1081            13468200.000       313215.062        
S1081            13467752.000       314192.469        
S1081            13468369.000       314493.937        
S1081            13467727.000       315873.937        
S1081            13467308.000       315718.500        
S1081            13466723.000       315305.188        
S1081            13466536.000       315590.438        
S1081            13466883.000       315799.469        
S1081            13466658.000       316113.906        
S1081            13466275.000       315952.656        
S1081            13466027.000       316313.000        
S1081            13467115.000       316884.438        
S1081            13467717.271       317222.460        
S1081            13467727.507       317109.873        
S1081            13468085.740       317253.166        
S1081            13468171.787       317063.862        
S1081            13468239.269       316915.403        
S1081            13468003.858       316761.874        
S1081            13468504.552       315801.359        
S1081            13468505.385       315799.761        
S1081            13469305.781       313896.006        
S1081            13469313.969       313871.442        
S1081            13470534.010       314338.169        
S1081            13470540.311       314342.259        
S108110          13472978.000       305613.500        
S108110          13473112.000       305261.719        
S108110          13473233.000       305323.437        
S108110          13473458.000       304809.844        
S108110          13473013.000       304624.844        
S108110          13473571.000       303319.938        
S108110          13473887.000       303086.969        
S108110          13474307.819       302942.161        
S108110          13474450.079       302627.157        
S108110          13474178.079       302434.066        
S108110          13474710.000       301246.188        
S108110          13474147.000       300724.875        
S108110          13473861.000       301447.094        
S108110          13473909.000       301788.437        
S108110          13473598.000       301637.156        
S108110          13473458.000       301999.188        
S108110          13472638.000       301639.594        
S108110          13472477.000       302043.906        
S108110          13471505.000       304426.031        
S108110          13471558.843       304795.071        
S108110          13471025.688       305970.257        
S108110          13470670.040       306102.355        
S108110          13470388.479       306840.108        
S108110          13470908.980       307070.190        
S108110          13471772.559       307464.002        
S108110          13472083.000       306763.031        
S108110          13472437.000       306935.094        
S108110          13472671.000       306406.563        
S108110          13472356.000       306286.656        
S108110          13472595.000       305732.219        
S108110          13472059.000       305719.688        
S108110          13472094.000       305594.781        
S108110          13472978.000       305613.500        
S108135          13470805.000       310760.312        
S108135          13471063.000       310137.094        
S108135          13470668.000       309977.469        
S108135          13470909.000       309421.875        
S108135          13471284.000       309590.125        
S108135          13471524.000       309037.812        
S108135          13471144.000       308883.281        
S108135          13471772.559       307464.002        
S108135          13470908.980       307070.190        
S108135          13469469.009       310379.527        
S108135          13470051.702       310631.827        
S108135          13470543.697       310844.856        
S108135          13470805.000       310760.312        
S108520          13475487.000       301797.750        
S108520          13475080.000       301547.625        
S108520          13474710.000       301246.188        
S108520          13474178.079       302434.066        
S108520          13474450.079       302627.157        
S108520          13474307.819       302942.161        
S108520          13473887.000       303086.969        
S108520          13473571.000       303319.938        
S108520          13473013.000       304624.844        
S108520          13473458.000       304809.844        
S108520          13473233.000       305323.437        
S108520          13473112.000       305261.719        
S108520          13472978.000       305613.500        
S108520          13474157.000       305727.688        
