[JUNCTIONS]
;;Name           Elevation  MaxDepth   InitDepth  SurDepth   Aponded   
;;-------------- ---------- ---------- ---------- ---------- ----------
168714           586.05     21.71      0          0          0         
;* Canfield
168716           587.96     21.8       0          0          0         
168718           589.8      20.96      0          0          0         
16872            574.81     24.95      0          0          0         
168720           591.64     20.12      0          0          0         
16873            575.76     24         0          0          0         
16874            574.04     25.72      0          0          0         
16900            574.89     9.47       0          0          0         
169004           579.08     15.68      0          0          0         
;Goethe
169008           582.33     21.43      0          0          0         
169012           585.22     20.54      0          0          0         
169014           586.7      19.06      0          0          0         
169016           588.31     20.45      0          0          0         
169018           589.67     20.09      0          0          0         
;was 16900  changed 1/08
1693             563.39     22.37      0          0          0         
1705             544.4      38.36      0          0          0         
1715             552.13     27.83      0          0          0         
1720             553.28     28.38      0          0          0         
1730             556.11     24.15      0          0          0         
;Edited: 6/01 WT tg Changed Invert to 78.0' Based on Hazen &
;Sawyer
17312            559.76     30         0          0          0         
17313            559.56     30.2       0          0          0         
;Edited: 6/01 WT tg Added nodes to accomodate equiv.
;conduits for Conner Creek Forebay  Tailrace and Roller Gates
1733             556.61     26.05      0          0          0         
;Alt PP outfall to basin
1735             557.06     20.4       0          0          0         
1750             558.99     18.47      0          0          0         
1755             559.44     17.82      0          0          0         
1760             579.76     15         0          0          0         
1767             569.76     22         0          0          0         
1768             569.66     33.1       0          0          0         
1772             547.56     39.2       0          0          0         
1774             547.76     37         0          0          0         
1776             549.34     27.42      0          0          0         
;GDRSS Level 3.0 Outfall Representation: Flora/Carbon/Fort
;(West) Outfall (B46 47 48) (9/12/96)  *(1)Carbon Outfall (B46)
17782            570.8      33.96      0          0          0         
17783            571.8      32.96      0          0          0         
17784            573.16     31.6       0          0          0         
;B46 Regulator
177850           569.7      16.66      0          0          0         
177851           573.3      11.66      0          0          0         
177852           573.73     11.23      0          0          0         
177853           574.33     13.03      0          0          0         
177854           574.58     8.58       0          0          0         
177855           574.78     12.78      0          0          0         
177856           574.91     11.65      0          0          0         
177857           575.27     10.09      0          0          0         
177858           575.58     11.08      0          0          0         
177859           575.71     12.35      0          0          0         
;B46 System High Overflow reliefs to Woodmere PS system/
;Modified Invert from 93.6 to 83.19 to convey flow to Woodmere PS
1778590          562.95     25.11      0          0          0         
177860           575.87     10.29      0          0          0         
177861           576.02     8.44       0          0          0         
;* Updat4ed B46 Area 9/15/09
177862           576.36     6.5        0          0          0         
;* Following is from v. 3.10 (CDM 10/98)  * * *RVI Inflow
;Point
1780             549.66     34.1       0          0          0         
;* **REGULATOR GATE
1789             554.01     25.75      0          0          0         
;* **OAKWOOD INTERCEPTOR
1790             549.96     29.8       0          0          0         
1800             543.84     44.82      0          0          0         
1805             544.53     42.83      0          0          0         
1810             544.78     44.98      0          0          0         
1812             544.79     44.97      0          0          0         
1815             544.79     42.97      0          0          0         
1825             545.27     38.99      0          0          0         
1835             548.51     39.25      0          0          0         
1837             549.43     51.33      0          0          0         
1838             550.17     52.59      0          0          0         
1840             550.63     56.63      0          0          0         
1845             551.03     61.73      0          0          0         
1850             551.37     61.39      0          0          0         
1852             552.26     70         0          0          0         
1853             553.27     72.99      0          0          0         
1860             554.11     67.65      0          0          0         
;orig 555.71
1867             554.39     66.55      0          0          0         
1870             562.07     65.69      0          0          0         
1875             565.51     61.25      0          0          0         
19200            564.12     25.64      0          0          0         
19201            564.86     25.9       0          0          0         
19202            564.86     25.9       0          0          0         
1925             566.06     24.7       0          0          0         
1935             568.79     25.87      0          0          0         
1940             570.15     29.01      0          0          0         
19401            571.26     29.5       0          0          0         
